 Atlanta Hawks,0.354
 Brooklyn Nets,0.512
 Boston Celtics,0.598
 Charlotte Hornets,0.476
 Chicago Bulls,0.268
 Cleveland Cavaliers,0.232
 Dallas Mavericks,0.402
 Denver Nuggets,0.659
 Detroit Pistons,0.5
 Golden State Warriors,0.695
 Houston Rockets,0.646
 Indiana Pacers,0.585
 LA Clippers,0.585
 Los Angeles Lakers,0.451
 Memphis Grizzlies,0.402
 Miami Heat,0.476
 Milwaukee Bucks,0.732
 Minnesota Timberwolves,0.439
 New Orleans Pelicans,0.402
 New York Knicks,0.207
 Oklahoma City Thunder,0.598
 Orlando Magic,0.512
 Philadelphia 76ers,0.622
 Phoenix Suns,0.232
 Portland Trail Blazers,0.646
 San Antonio Spurs,0.585
 Sacramento Kings,0.476
 Toronto Raptors,0.707
 Utah Jazz,0.61
 Washington Wizards,0.39
