Devin Harris,DAL,13.84
Kosta Koufos,SAC,13.82
C.J. Miles,IND,13.77
Markieff Morris,WSH,13.75
Marvin Williams,CHA,13.74
T.J. McConnell,PHI,13.73
Rondae Hollis-Jefferson,BKN,13.71
Kris Humphries,ATL,13.65
Victor Oladipo,OKC,13.62
Justin Hamilton,BKN,13.61
Jason Smith,WSH,13.61
Shabazz Napier,POR,13.61
Rajon Rondo,CHI,13.59
Roy Hibbert,DEN/CHA,13.58
Bojan Bogdanovic,BKN/WSH,13.56
JaMychal Green,MEM,13.56
Ryan Anderson,HOU,13.53
Terrence Ross,ORL/TOR,13.46
Juan Hernangomez,DEN,13.41
Marco Belinelli,CHA,13.4
Tony Allen,MEM,13.33
Robert Covington,PHI,13.27
Jordan Clarkson,LAL,13.23
Cory Joseph,TOR,13.22
Ian Clark,GS,13.22
Eric Gordon,HOU,13.22
Jerian Grant,CHI,13.21
Maurice Harkless,POR,13.16
Sean Kilpatrick,BKN,13.16
Jodie Meeks,ORL,13.15
Yogi Ferrell,DAL/BKN,13.15
Frank Kaminsky,CHA,13.12
Aron Baynes,DET,13.11
Tony Parker,SA,13.1
Sam Dekker,HOU,13.09
Patrick Beverley,HOU,13.06
Tyler Ulis,PHX,13.05
Tyler Zeller,BOS,13.04
Davis Bertans,SA,12.94
Alexis Ajinca,NO,12.91
Kentavious Caldwell-Pope,DET,12.9
Darrell Arthur,DEN,12.89
Dario Saric,PHI,12.84
Joe Johnson,UTAH,12.82
Spencer Dinwiddie,BKN,12.72
Justin Holiday,NY,12.71
Cole Aldrich,MIN,12.69
Wayne Ellington,MIA,12.68
Joffrey Lauvergne,CHI/OKC,12.63
Kyle Anderson,SA,12.59
Marcus Morris Sr.,DET,12.47
Rodney Hood,UTAH,12.47
Mindaugas Kuzminskas,NY,12.45
Joe Ingles,UTAH,12.44
Brandon Knight,PHX,12.41
Tim Frazier,NO,12.4
Trevor Ariza,HOU,12.38
Marquese Chriss,PHX,12.38
Ramon Sessions,CHA,12.34
Timofey Mozgov,LAL,12.3
Caris LeVert,BKN,12.29
Bismack Biyombo,ORL,12.23
Courtney Lee,NY,12.2
Jakob Poeltl,TOR,12.19
Kyle Korver,ATL/CLE,12.17
E'Twaun Moore,NO,12.13
Brandon Jennings,NY/WSH,12.09
Marcus Smart,BOS,12.07
Jamal Crawford,LAC,12.06
Gerald Green,BOS,12.02
Derrick Jones Jr.,PHX,12.0
Jamal Murray,DEN,11.97
Wesley Matthews,DAL,11.93
Thabo Sefolosha,ATL,11.92
Buddy Hield,NO/SAC,11.89
DeMarre Carroll,TOR,11.88
Quincy Acy,DAL/BKN,11.87
Vince Carter,MEM,11.69
Lavoy Allen,IND,11.65
Alec Burks,UTAH,11.65
Allen Crabbe,POR,11.64
Kent Bazemore,ATL,11.6
KJ McDaniels,HOU/BKN,11.59
Leandro Barbosa,PHX,11.53
Jameer Nelson,DEN,11.52
Pascal Siakam,TOR,11.52
Ed Davis,POR,11.5
Glenn Robinson III,IND,11.49
Evan Turner,POR,11.48
Austin Rivers,LAC,11.44
Al-Farouq Aminu,POR,11.31
Garrett Temple,SAC,11.19
Anthony Tolliver,SAC,11.17
Sergio Rodriguez,PHI,11.13
D.J. Augustin,ORL,11.01
Nemanja Bjelica,MIN,11.0
