Zaza Pachulia,DET,13.69
Tim Hardaway Jr.,DAL/NY,13.66
Jeff Green,WSH,13.66
Pat Connaughton,MIL,13.6
Jeremy Lin,ATL/TOR,13.58
Jaylen Brown,BOS,13.58
Joe Harris,BKN,13.56
Zach Collins,POR,13.56
Jake Layman,POR,13.52
Jonas Jerebko,GS,13.49
Brandon Ingram,LAL,13.48
Joe Ingles,UTAH,13.46
Shai Gilgeous-Alexander,LAC,13.45
T.J. McConnell,PHI,13.41
Cristiano Felicio,CHI,13.39
Sam Dekker,CLE/WSH,13.38
Michael Kidd-Gilchrist,CHA,13.37
Robert Covington,MIN/PHI,13.36
Norman Powell,TOR,13.35
Maurice Harkless,POR,13.25
Patty Mills,SA,13.19
Al-Farouq Aminu,POR,13.18
Quinn Cook,GS,13.13
Miles Bridges,CHA,13.13
Dario Saric,MIN/PHI,13.12
Andre Iguodala,GS,13.12
Maxi Kleber,DAL,13.12
Amir Johnson,PHI,13.12
Marcus Smart,BOS,13.12
Georges Niang,UTAH,13.06
Danny Green,TOR,13.02
Jonathan Isaac,ORL,13.02
Davis Bertans,SA,13.0
Kentavious Caldwell-Pope,LAL,12.96
Terry Rozier,BOS,12.95
Jordan Bell,GS,12.94
Draymond Green,GS,12.88
Justise Winslow,MIA,12.83
Harrison Barnes,DAL/SAC,12.81
Jalen Brunson,DAL,12.8
Marcin Gortat,LAC,12.8
Kyle Anderson,MEM,12.79
Dennis Schroder,OKC,12.76
Jonah Bolden,PHI,12.75
Trey Lyles,DEN,12.72
Yogi Ferrell,SAC,12.7
Alec Burks,CLE/SAC/UTAH,12.69
Marvin Williams,CHA,12.66
David Nwaba,CLE,12.51
Rondae Hollis-Jefferson,BKN,12.5
Tyler Johnson,MIA/PHX,12.47
Kris Dunn,CHI,12.47
Andrew Wiggins,MIN,12.42
Omari Spellman,ATL,12.42
Bruno Caboclo,MEM,12.41
Shaquille Harrison,CHI,12.38
Dennis Smith Jr.,DAL/NY,12.34
Kosta Koufos,SAC,12.33
Evan Fournier,ORL,12.32
Rodney Hood,CLE/POR,12.3
Eric Gordon,HOU,12.25
Gary Harris,DEN,12.24
Danuel House Jr.,HOU,12.23
Allonzo Trier,NY,12.19
Jae Crowder,UTAH,12.16
George Hill,CLE/MIL,12.14
Rajon Rondo,LAL,12.11
Collin Sexton,CLE,12.1
Thabo Sefolosha,UTAH,12.09
DeMarre Carroll,BKN,12.09
Trevor Ariza,PHX/WSH,12.08
Bryn Forbes,SA,12.05
Taurean Prince,ATL,11.99
Aaron Holiday,IND,11.99
Luke Kennard,DET,11.99
Marco Belinelli,SA,11.97
Kent Bazemore,ATL,11.93
Nene?,HOU,11.9
Nicolas Batum,CHA,11.87
Malik Monk,CHA,11.87
Lance Stephenson,LAL,11.86
Ish Smith,DET,11.86
Wayne Ellington,DET/MIA,11.83
Vince Carter,ATL,11.83
Patrick Beverley,LAC,11.79
Lonzo Ball,LAL,11.76
Jamal Crawford,PHX,11.75
Markieff Morris,OKC/WSH,11.74
Shaun Livingston,GS,11.71
Dwayne Bacon,CHA,11.7
Tim Frazier,NO/MIL,11.69
Doug McDermott,IND,11.64
Evan Turner,POR,11.61
Ersan Ilyasova,MIL,11.6
Ryan Arcidiacono,CHI,11.59
Cameron Payne,CHI/CLE,11.58
Tyreke Evans,IND,11.54
Cedi Osman,CLE,11.53
E'Twaun Moore,NO,11.52
Furkan Korkmaz,PHI,11.49
Gerald Green,HOU,11.41
