"Anthony Davis, NO",30.89,,,,,,,,,,,,
"Russell Westbrook, OKC",29.12,,,,,,,,,,,,
"Stephen Curry, GS",28.06,,,,,,,,,,,,
"Kevin Durant, OKC",27.65,,,,,,,,,,,,
"James Harden, HOU",26.76,,,,,,,,,,,,
"Hassan Whiteside, MIA",26.26,,,,,,,,,,,,
"Chris Paul, LAC",26.04,,,,,,,,,,,,
"LeBron James, CLE",26.01,,,,,,,,,,,,
"DeMarcus Cousins, SAC",25.29,,,,,,,,,,,,
"Blake Griffin, LAC",22.86,,,,,,,,,,,,
"LaMarcus Aldridge, POR",22.85,,,,,,,,,,,,
"Brook Lopez, BKN",22.76,,,,,,,,,,,,
"Pau Gasol, CHI",22.73,,,,,,,,,,,,
"Tim Duncan, SA",22.69,,,,,,,,,,,,
"Kawhi Leonard, SA",22.09,,,,,,,,,,,,
"Derrick Favors, UTAH",21.86,,,,,,,,,,,,
"Marc Gasol, MEM",21.73,,,,,,,,,,,,
"Nikola Vucevic, ORL",21.62,,,,,,,,,,,,
"Rudy Gobert, UTAH",21.6,,,,,,,,,,,,
"Carmelo Anthony, NY",21.58,,,,,,,,,,,,
"Kyrie Irving, CLE",21.57,,,,,,,,,,,,
"George Hill, IND",21.52,,,,,,,,,,,,
"Andre Drummond, DET",21.5,,,,,,,,,,,,
"Dwyane Wade, MIA",21.44,,,,,,,,,,,,
"Al Horford, ATL",21.43,,,,,,,,,,,,
"Jimmy Butler, CHI",21.32,,,,,,,,,,,,
"Greg Monroe, DET",21.26,,,,,,,,,,,,
"DeAndre Jordan, LAC",21.05,,,,,,,,,,,,
"Klay Thompson, GS",20.86,,,,,,,,,,,,
"Damian Lillard, POR",20.79,,,,,,,,,,,,
"Jeff Teague, ATL",20.64,,,,,,,,,,,,
"Isaiah Thomas, BOS/PHX",20.63,,,,,,,,,,,,
"Jonas Valanciunas, TOR",20.6,,,,,,,,,,,,
"Brandan Wright, BOS/DAL/PHX",20.44,,,,,,,,,,,,
"Amar'e Stoudemire, DAL/NY",20.4,,,,,,,,,,,,
"Enes Kanter, OKC/UTAH",20.36,,,,,,,,,,,,
"Gordon Hayward, UTAH",20.24,,,,,,,,,,,,
"Tyson Chandler, DAL",20.12,,,,,,,,,,,,
"Paul Millsap, ATL",20.1,,,,,,,,,,,,
"Alexis Ajinca, NO",20.01,,,,,,,,,,,,
"Ed Davis, LAL",20,,,,,,,,,,,,
"Shabazz Muhammad, MIN",19.99,,,,,,,,,,,,
"John Wall, WSH",19.92,,,,,,,,,,,,
"Lou Williams, TOR",19.9,,,,,,,,,,,,
"Chris Bosh, MIA",19.87,,,,,,,,,,,,
"Rudy Gay, SAC",19.76,,,,,,,,,,,,
"Al Jefferson, CHA",19.75,,,,,,,,,,,,
"Brandon Jennings, DET",19.74,,,,,,,,,,,,
"Marreese Speights, GS",19.58,,,,,,,,,,,,
"Zach Randolph, MEM",19.54,,,,,,,,,,,,
"Alexey Shved, HOU/NY/PHI",19.51,,,,,,,,,,,,
"Kyle Lowry, TOR",19.33,,,,,,,,,,,,
"Dwight Howard, HOU",19.31,,,,,,,,,,,,
"Dirk Nowitzki, DAL",19.26,,,,,,,,,,,,
"Tyler Zeller, BOS",19.01,,,,,,,,,,,,
"Tiago Splitter, SA",18.98,,,,,,,,,,,,
"Kevin Love, CLE",18.89,,,,,,,,,,,,
"Jrue Holiday, NO",18.82,,,,,,,,,,,,
"Mike Conley, MEM",18.61,,,,,,,,,,,,
"Ty Lawson, DEN",18.5,,,,,,,,,,,,
"Eric Bledsoe, PHX",18.47,,,,,,,,,,,,
"Kenneth Faried, DEN",18.46,,,,,,,,,,,,
"Terrence Jones, HOU",18.31,,,,,,,,,,,,
"Marcin Gortat, WSH",18.28,,,,,,,,,,,,
"Cole Aldrich, NY",18.16,,,,,,,,,,,,
"John Henson, MIL",18.08,,,,,,,,,,,,
"Mike Muscala, ATL",18.08,,,,,,,,,,,,
"Mason Plumlee, BKN",18.04,,,,,,,,,,,,
"Jared Sullinger, BOS",17.93,,,,,,,,,,,,
"Nikola Mirotic, CHI",17.93,,,,,,,,,,,,
"James Johnson, TOR",17.93,,,,,,,,,,,,
"David Lee, GS",17.9,,,,,,,,,,,,
