Atlanta Hawks,0.293
Brooklyn Nets,0.341
Boston Celtics,0.671
Charlotte Hornets,0.439
Chicago Bulls,0.329
Cleveland Cavaliers,0.61
Dallas Mavericks,0.293
Denver Nuggets,0.561
Detroit Pistons,0.476
Houston Rockets,0.793
Golden State Warriors,0.707
Indiana Pacers,0.585
LA Clippers,0.512
Los Angeles Lakers,0.427
Memphis Grizzlies,0.268
Miami Heat,0.537
Milwaukee Bucks,0.537
Minnesota Timberwolves,0.573
New Orleans Pelicans,0.585
New York Knicks,0.354
Oklahoma City Thunder,0.585
Orlando Magic,0.305
Philadelphia 76ers,0.634
Phoenix Suns,0.256
Portland Trail Blazers,0.598
San Antonio Spurs,0.573
Sacramento Kings,0.329
Toronto Raptors,0.72
Utah Jazz,0.585
Washington Wizards,0.524
