"Langston Galloway, DET",17.59,,,,,,,,,,,,
"Goran Dragic, MIA",17.46,,,,,,,,,,,,
"Ja Morant, MEM",17.27,,,,,,,,,,,,
"Will Barton, DEN",17.22,,,,,,,,,,,,
"Brad Wanamaker, BOS",17.15,,,,,,,,,,,,
"OG Anunoby, TOR",17.11,,,,,,,,,,,,
"Alec Burks, GS",17.09,,,,,,,,,,,,
"Kyle O'Quinn, PHI",17,,,,,,,,,,,,
"Khris Middleton, MIL",16.87,,,,,,,,,,,,
"T.J. McConnell, IND",16.87,,,,,,,,,,,,
"Myles Turner, IND",16.84,,,,,,,,,,,,
"Jayson Tatum, BOS",16.83,,,,,,,,,,,,
"Luke Kennard, DET",16.82,,,,,,,,,,,,
"George Hill, MIL",16.76,,,,,,,,,,,,
"Marquese Chriss, GS",16.69,,,,,,,,,,,,
"Kelly Oubre Jr., PHX",16.67,,,,,,,,,,,,
"Tobias Harris, PHI",16.65,,,,,,,,,,,,
"Patty Mills, SA",16.57,,,,,,,,,,,,
"Isaiah Thomas, WSH",16.52,,,,,,,,,,,,
"Omari Spellman, GS",16.46,,,,,,,,,,,,
"Goga Bitadze, IND",16.43,,,,,,,,,,,,
"Eric Paschall, GS",16.4,,,,,,,,,,,,
"Shai Gilgeous-Alexander, OKC",16.3,,,,,,,,,,,,
"Zach LaVine, CHI",16.28,,,,,,,,,,,,
"Emmanuel Mudiay, UTAH",16.27,,,,,,,,,,,,
"C.J. Miles, WSH",16.26,,,,,,,,,,,,
"Kristaps Porzingis, DAL",16.23,,,,,,,,,,,,
"Damian Jones, ATL",16.17,,,,,,,,,,,,
"De'Aaron Fox, SAC",16.06,,,,,,,,,,,,
"Harrison Barnes, SAC",15.97,,,,,,,,,,,,
"Fred VanVleet, TOR",15.91,,,,,,,,,,,,
"Taj Gibson, NY",15.9,,,,,,,,,,,,
"Ricky Rubio, PHX",15.8,,,,,,,,,,,,
"Marcus Morris Sr., NY",15.78,,,,,,,,,,,,
"Bojan Bogdanovic, UTAH",15.77,,,,,,,,,,,,
"Josh Hart, NO",15.76,,,,,,,,,,,,
"PJ Washington, CHA",15.59,,,,,,,,,,,,
"Kendrick Nunn, MIA",15.53,,,,,,,,,,,,
"Robert Covington, MIN",15.5,,,,,,,,,,,,
"Markelle Fultz, ORL",15.47,,,,,,,,,,,,
"James Ennis III, PHI",15.46,,,,,,,,,,,,
"Kris Dunn, CHI",15.39,,,,,,,,,,,,
"Jrue Holiday, NO",15.32,,,,,,,,,,,,
"Danuel House Jr., HOU",15.29,,,,,,,,,,,,
"Tyson Chandler, HOU",15.25,,,,,,,,,,,,
"Kyle Anderson, MEM",15.19,,,,,,,,,,,,
"Rui Hachimura, WSH",15.16,,,,,,,,,,,,
"T.J. Leaf, IND",15.08,,,,,,,,,,,,
"Donte DiVincenzo, MIL",15.08,,,,,,,,,,,,
"Terence Davis, TOR",15.06,,,,,,,,,,,,
"Cameron Johnson, PHX",15.03,,,,,,,,,,,,
"Collin Sexton, CLE",14.94,,,,,,,,,,,,
"Brook Lopez, MIL",14.89,,,,,,,,,,,,
"Monte Morris, DEN",14.85,,,,,,,,,,,,
"Lonzo Ball, NO",14.83,,,,,,,,,,,,
"Steven Adams, OKC",14.8,,,,,,,,,,,,
"Aaron Gordon, ORL",14.78,,,,,,,,,,,,
"Derrick White, SA",14.77,,,,,,,,,,,,
"Julius Randle, NY",14.64,,,,,,,,,,,,
"Jalen Brunson, DAL",14.64,,,,,,,,,,,,
"Marcus Smart, BOS",14.64,,,,,,,,,,,,
"Bobby Portis, NY",14.53,,,,,,,,,,,,
"Troy Brown Jr., WSH",14.49,,,,,,,,,,,,
"Buddy Hield, SAC",14.44,,,,,,,,,,,,
"Justin Jackson, DAL",14.42,,,,,,,,,,,,
"CJ McCollum, POR",14.31,,,,,,,,,,,,
"Matt Thomas, TOR",14.24,,,,,,,,,,,,
"Skal Labissiere, POR",14.19,,,,,,,,,,,,
"Sterling Brown, MIL",14.14,,,,,,,,,,,,
"Terry Rozier, CHA",14.13,,,,,,,,,,,,
"D.J. Augustin, ORL",13.96,,,,,,,,,,,,
"Nicolo Melli, NO",13.95,,,,,,,,,,,,
"Elfrid Payton, NY",13.91,,,,,,,,,,,,
"T.J. Warren, IND",13.89,,,,,,,,,,,,
"Noah Vonleh, MIN",13.78,,,,,,,,,,,,
"Otto Porter Jr., CHI",13.73,,,,,,,,,,,,
