Stephen Curry,GS,31.56
Kevin Durant,OKC,28.25
Boban Marjanovic,SA,27.77
Russell Westbrook,OKC,27.64
LeBron James,CLE,27.64
Chris Paul,LAC,26.31
Kawhi Leonard,SA,26.11
Hassan Whiteside,MIA,25.69
James Harden,HOU,25.36
Anthony Davis,NO,25.1
Enes Kanter,OKC,24.09
DeMarcus Cousins,SAC,23.67
Jonas Valanciunas,TOR,22.63
Karl-Anthony Towns,MIN,22.59
Carl Landry,PHI,22.51
LaMarcus Aldridge,SA,22.43
Damian Lillard,POR,22.25
Blake Griffin,LAC,22.22
Kyle Lowry,TOR,22.2
Greg Monroe,MIL,21.87
Brook Lopez,BKN,21.8
Pau Gasol,CHI,21.76
Derrick Favors,UTAH,21.71
DeMar DeRozan,TOR,21.58
Nikola Jokic,DEN,21.58
Isaiah Thomas,BOS,21.54
Cole Aldrich,LAC,21.35
Paul Millsap,ATL,21.33
Jimmy Butler,CHI,21.33
Andre Drummond,DET,21.3
Nikola Vucevic,ORL,21.15
Kenneth Faried,DEN,21.06
Paul George,IND,20.98
Kemba Walker,CHA,20.87
DeAndre Jordan,LAC,20.66
Dwyane Wade,MIA,20.42
Carmelo Anthony,NY,20.38
Chris Bosh,MIA,20.29
Eric Bledsoe,PHX,20.1
Kyrie Irving,CLE,19.96
John Wall,WSH,19.83
Jrue Holiday,NO,19.74
David Lee,BOS/DAL,19.64
Reggie Jackson,DET,19.62
Al Horford,ATL,19.46
Mike Conley,MEM,19.45
Draymond Green,GS,19.31
Dirk Nowitzki,DAL,19.09
Kevin Love,CLE,19.08
Marcin Gortat,WSH,19.04
Danilo Gallinari,DEN,19.04
Dwight Howard,HOU,18.99
Giannis Antetokounmpo,MIL,18.86
Ed Davis,POR,18.76
Klay Thompson,GS,18.67
John Henson,MIL,18.63
Zach Randolph,MEM,18.39
Gordon Hayward,UTAH,18.37
Clint Capela,HOU,18.3
Al Jefferson,CHA,18.26
Jeff Teague,ATL,17.98
Tyreke Evans,NO,17.96
Manu Ginobili,SA,17.9
Kristaps Porzingis,NY,17.8
Aron Baynes,DET,17.8
CJ McCollum,POR,17.79
Festus Ezeli,GS,17.77
Lou Williams,LAL,17.76
Marc Gasol,MEM,17.74
Jeff Withey,UTAH,17.69
Robin Lopez,NY,17.66
David West,SA,17.66
Ricky Rubio,MIN,17.64
JJ Redick,LAC,17.58
Thaddeus Young,BKN,17.58
Rudy Gobert,UTAH,17.51
Kyle O'Quinn,NY,17.5
Miles Plumlee,MIL,17.43
Brandon Bass,LAL,17.38
Amar'e Stoudemire,MIA,17.34
Mario Chalmers,MIA/MEM,17.33
Ryan Anderson,NO,17.3
Derrick Williams,NY,17.28
Mason Plumlee,POR,17.24
Marreese Speights,GS,17.18
Gorgui Dieng,MIN,17.17
Jahlil Okafor,PHI,17.14
Dewayne Dedmon,ORL,17.08
Aaron Gordon,ORL,17.07
Tim Duncan,SA,16.98
Rajon Rondo,SAC,16.92
Marvin Williams,CHA,16.9
Dwight Powell,DAL,16.87
Nene?,WSH,16.86
Khris Middleton,MIL,16.85
Jared Sullinger,BOS,16.78
Victor Oladipo,ORL,16.77
Ian Mahinmi,IND,16.66
Andrew Wiggins,MIN,16.61
Jordan Hill,IND,16.42
Kelly Olynyk,BOS,16.33
Chandler Parsons,DAL,16.31
Nerlens Noel,PHI,16.28
Mirza Teletovic,PHX,16.27
Zaza Pachulia,DAL,16.26
Jon Leuer,PHX,16.24
Tobias Harris,DET/ORL,16.23
Tony Parker,SA,16.22
Cody Zeller,CHA,16.18
Will Barton,DEN,16.07
Amir Johnson,BOS,16.03
Jusuf Nurkic,DEN,16.01
Ramon Sessions,WSH,15.93
Richaun Holmes,PHI,15.93
Jeremy Lamb,CHA,15.92
Andrew Bogut,GS,15.92
Tristan Thompson,CLE,15.91
Darren Collison,SAC,15.91
Jae Crowder,BOS,15.85
Joffrey Lauvergne,DEN,15.8
T.J. Warren,PHX,15.78
Taj Gibson,CHI,15.7
Nicolas Batum,CHA,15.69
Nikola Mirotic,CHI,15.63
Dennis Schroder,ATL,15.62
Sean Kilpatrick,DEN/BKN,15.62
Bradley Beal,WSH,15.61
Goran Dragic,MIA,15.57
Steven Adams,OKC,15.54
J.J. Barea,DAL,15.52
Rudy Gay,SAC,15.51
Myles Turner,IND,15.51
Tyler Zeller,BOS,15.42
Willie Cauley-Stein,SAC,15.31
Shabazz Muhammad,MIN,15.26
Kosta Koufos,SAC,15.15
Luol Deng,MIA,15.02
Ish Smith,NO/PHI,14.97
Kobe Bryant,LAL,14.94
Bismack Biyombo,TOR,14.91
Andrew Nicholson,ORL,14.85
Jabari Parker,MIL,14.83
Marcus Thornton,HOU/WSH,14.81
Brandon Knight,PHX,14.75
Toney Douglas,NO,14.74
Tyson Chandler,PHX,14.74
Jason Smith,ORL,14.72
Quincy Acy,SAC,14.71
Evan Fournier,ORL,14.71
Patty Mills,SA,14.69
JaMychal Green,MEM,14.68
Deron Williams,DAL,14.68
Timofey Mozgov,CLE,14.63
Thomas Robinson,BKN,14.54
T.J. McConnell,PHI,14.52
Otto Porter Jr.,WSH,14.51
Jarrett Jack,BKN,14.49
Trevor Booker,UTAH,14.4
Alec Burks,UTAH,14.38
Zach LaVine,MIN,14.34
Jordan Clarkson,LAL,14.34
Ersan Ilyasova,DET/ORL,14.26
Rondae Hollis-Jefferson,BKN,14.23
Rodney Hood,UTAH,14.17
Joakim Noah,CHI,14.08
C.J. Miles,IND,14.08
Mike Scott,ATL,14.06
Trey Burke,UTAH,14.06
Jamal Crawford,LAC,14.04
Boris Diaw,SA,14.0
Serge Ibaka,OKC,13.99
Michael Carter-Williams,MIL,13.98
Elfrid Payton,ORL,13.98
Donald Sloan,BKN,13.98
Omri Casspi,SAC,13.96
D.J. Augustin,DEN/OKC,13.94
Julius Randle,LAL,13.92
Tim Frazier,NO/POR,13.9
