James Harden,HOU,29.87
Anthony Davis,NO,28.98
LeBron James,CLE,28.65
Stephen Curry,GS,28.32
Giannis Antetokounmpo,MIL,27.37
Kevin Durant,GS,26.05
Damian Lillard,POR,25.19
LaMarcus Aldridge,SA,25.12
Kyrie Irving,BOS,25.03
Karl-Anthony Towns,MIN,24.99
Russell Westbrook,OKC,24.8
Montrezl Harrell,LAC,24.73
Clint Capela,HOU,24.55
Nikola Jokic,DEN,24.52
Chris Paul,HOU,24.39
Hassan Whiteside,MIA,24.18
Enes Kanter,NY,24.02
Jimmy Butler,MIN,23.7
Victor Oladipo,IND,23.12
Joel Embiid,PHI,22.95
Andre Drummond,DET,22.94
DeMarcus Cousins,NO,22.66
Jonas Valanciunas,TOR,22.52
Kevin Love,CLE,22.44
JaVale McGee,GS,22.39
Greg Monroe,BOS/MIL/PHX,21.24
Tyreke Evans,MEM,21.16
Trey Burke,NY,21.11
DeMar DeRozan,TOR,21.1
David West,GS,21.01
Rudy Gobert,UTAH,20.71
Steven Adams,OKC,20.69
Kemba Walker,CHA,20.62
Dwight Howard,CHA,20.56
Kristaps Porzingis,NY,20.42
Lou Williams,LAC,20.29
Larry Nance Jr.,CLE/LAL,20.18
DeAndre Jordan,LAC,20.17
Ben Simmons,PHI,20.03
Kyle O'Quinn,NY,20.01
Julius Randle,LAL,19.96
Eric Bledsoe,MIL/PHX,19.79
Nikola Vucevic,ORL,19.79
Bobby Portis,CHI,19.78
Blake Griffin,DET/LAC,19.65
Kyle Lowry,TOR,19.53
Alex Len,PHX,19.37
Jusuf Nurkic,POR,19.28
John Wall,WSH,19.2
Pau Gasol,SA,18.98
Darren Collison,IND,18.86
Dwight Powell,DAL,18.82
Derrick Favors,UTAH,18.82
Nikola Mirotic,NO/CHI,18.72
Paul George,OKC,18.71
Bradley Beal,WSH,18.51
Otto Porter Jr.,WSH,18.37
John Collins,ATL,18.33
Devin Booker,PHX,18.12
Rudy Gay,SA,18.03
Jordan Bell,GS,18.0
Trey Lyles,DEN,17.95
Michael Beasley,NY,17.89
Jrue Holiday,NO,17.87
J.J. Barea,DAL,17.84
Kelly Olynyk,MIA,17.82
Salah Mejri,DAL,17.81
T.J. Warren,PHX,17.71
Al Horford,BOS,17.63
Willie Cauley-Stein,SAC,17.61
Domantas Sabonis,IND,17.57
Kosta Koufos,SAC,17.56
Jarrett Allen,BKN,17.56
Jakob Poeltl,TOR,17.55
Richaun Holmes,PHI,17.47
Khris Middleton,MIL,17.45
Marc Gasol,MEM,17.42
Zach Randolph,SAC,17.41
Dennis Schroder,ATL,17.41
Tobias Harris,DET/LAC,17.2
Jabari Parker,MIL,17.19
Jeremy Lamb,CHA,17.08
Paul Millsap,DEN,17.06
Cheick Diallo,NO,17.05
Zaza Pachulia,GS,17.0
CJ McCollum,POR,17.0
Mason Plumlee,DEN,17.0
Rondae Hollis-Jefferson,BKN,16.9
Dirk Nowitzki,DAL,16.76
Donovan Mitchell,UTAH,16.74
Deyonta Davis,MEM,16.69
Myles Turner,IND,16.65
Ivan Rabb,MEM,16.64
Goran Dragic,MIA,16.64
Gary Harris,DEN,16.6
Elfrid Payton,ORL/PHX,16.6
Brook Lopez,LAL,16.52
Joffrey Lauvergne,SA,16.52
Aaron Gordon,ORL,16.51
Jordan Clarkson,CLE/LAL,16.5
Delon Wright,TOR,16.49
Nene?,HOU,16.47
Jeff Teague,MIN,16.44
Khem Birch,ORL,16.43
Will Barton,DEN,16.21
Jerami Grant,OKC,16.19
Jamal Murray,DEN,16.17
Daniel Theis,BOS,16.16
Klay Thompson,GS,16.15
Buddy Hield,SAC,16.13
Draymond Green,GS,16.1
Tyler Zeller,MIL/BKN,16.01
Reggie Jackson,DET,15.96
Cody Zeller,CHA,15.96
JJ Redick,PHI,15.92
Kyle Anderson,SA,15.91
Fred VanVleet,TOR,15.9
Harrison Barnes,DAL,15.89
Spencer Dinwiddie,BKN,15.89
Dario Saric,PHI,15.88
Thabo Sefolosha,UTAH,15.86
Dewayne Dedmon,ATL,15.85
James Johnson,MIA,15.82
John Henson,MIL,15.78
Bam Adebayo,MIA,15.74
Lauri Markkanen,CHI,15.68
Evan Fournier,ORL,15.61
Omri Casspi,GS,15.56
Ed Davis,POR,15.55
Ish Smith,DET,15.5
Taj Gibson,MIN,15.45
Ricky Rubio,UTAH,15.43
D.J. Augustin,ORL,15.4
Tomas Satoransky,WSH,15.35
D'Angelo Russell,BKN,15.31
Jayson Tatum,BOS,15.29
Rajon Rondo,NO,15.28
Eric Gordon,HOU,15.22
Ekpe Udoh,UTAH,15.19
Terry Rozier,BOS,15.12
Dejounte Murray,SA,15.09
Dwyane Wade,CLE/MIA,15.09
Ersan Ilyasova,ATL/PHI,14.94
Trevor Booker,IND/BKN/PHI,14.91
Amir Johnson,PHI,14.9
Thaddeus Young,IND,14.83
Kevon Looney,GS,14.82
Jeff Green,CLE,14.8
Robin Lopez,CHI,14.77
Serge Ibaka,TOR,14.72
Marcin Gortat,WSH,14.7
Gorgui Dieng,MIN,14.69
Zach LaVine,CHI,14.65
Kris Dunn,CHI,14.58
Marcus Morris Sr.,BOS,14.57
Pascal Siakam,TOR,14.54
Kent Bazemore,ATL,14.51
Tim Hardaway Jr.,NY,14.48
Nicolas Batum,CHA,14.45
Frank Kaminsky,CHA,14.42
Joe Ingles,UTAH,14.42
Mike Muscala,ATL,14.39
Rodney Hood,CLE/UTAH,14.38
Skal Labissiere,SAC,14.33
DeMarre Carroll,BKN,14.31
Malcolm Brogdon,MIL,14.31
Jerian Grant,CHI,14.3
Caris LeVert,BKN,14.3
Tarik Black,HOU,14.29
Tyson Chandler,PHX,14.26
Kyle Kuzma,LAL,14.22
Marco Belinelli,ATL/PHI,14.2
